Continente,Gran Región / Subcontinente,Región Específica / Área Cultural,Cultura / Sociedad,Cronología Aprox. (10k aC - 750 dC),Subsistencia Principal,Patrón Asentamiento,Arquitectura Notable,Tecnologías Clave,Evidencia Jerarquía Social,Redes Intercambio (Alcance),Sistemas Registro / Escritura,
Europa,Europa Septentrional,Región Báltica Oriental,Edad Hierro (Tribus Bálticas / Fino-Úgricas),ca. 500 a.C. - 750+ d.C.,"Agricultura, Ganadería, Hierro, Comercio (Ámbar)","Poblados fortificados (Hillforts), Aldeas","Castros (Hillforts), Tumbas (círculos piedra / tarand?)","Hierro, ¿Construcción defensiva?",¿Jefaturas tribales?,"Escandinavia, Eslavos?",[No Evidencia],
América del Norte,Ártico,"Alaska, Canadá, Groenlandia",Culturas Paleo-Árticas Tempranas (ej. Denali?) [KI],ca. 8000 - 5000 a.C.,Caza-Recolección Post-Glacial,Campamentos móviles,?,Microlitos,Probablemente Egalitaria,Regional,[No Evidencia],
América del Norte,Ártico,"Alaska, Canadá, Groenlandia",Tradición Microlítica Ártica (ASTt) / Pre-Dorset / Saqqaq / Indep. I,ca. 3000 - 800 a.C.,"Caza (Caribú, Mam. Marinos), Pesca","Alta movilidad, Campamentos estacionales","Viviendas ligeras?, ¿Fosos?","Microlitos (buriles, láminas), ¿Arco/Flecha?, Ropa adaptada",Probablemente Egalitaria,Amplia (Expansión rápida),[No Evidencia],
América del Norte,Ártico,"Ártico Central y Oriental (Canadá), Groenlandia",Cultura Dorset,ca. 500 a.C. - 750+ d.C.,"Caza mamíferos marinos (focas en hielo), Pesca","¿Semi-sedentario (invierno)?, Movilidad estacional","Casas semi-subterráneas?, ¿Casas nieve?","Arpones, Lámparas aceite (Kudlik), Buriles, Sin arco/flecha",¿Igualitaria?,Amplia (Homogénea),Arte figurativo miniatura,
América del Norte,Subártico,Escudo Canadiense,Arcaico del Escudo [KI],ca. 6000 - 1000 a.C.,"Caza (Caribú, Alce), Pesca, Recolección",Campamentos móviles/estacionales,"Viviendas ligeras?, ¿Pozos?","Lítica variada, Canoas corteza, Raquetas nieve, ¿Cobre nativo temprano?",Probablemente Egalitaria,Regional,[No Evidencia],
América del Norte,Subártico,Escudo Canadiense (Oeste) / Gdes Lagos Norte,Complejo Laurel,ca. 300 a.C. - 1000 d.C.,"Caza, Pesca, Recolección","Aldeas?, Sitios ceremoniales/entierro",Montículos funerarios,"**Cerámica (Laurel)**, ¿Arco/Flecha?",¿Emergente? (Montículos),Amplio (Esfera Hopewell),[No Evidencia],
América del Norte,Subártico,Alaska Interior / Yukón (Interior),Tradición Arcaica Septentrional (Pre-Atapascano),ca. 4000 - 1 a.C./1 d.C.,"Caza (Caribú ppal.), Pesca (Salmón), Recolección",Campamentos móviles (caza),"Abrigos rocosos, ¿Cabañas?","**Puntas Muesca Lateral**, Lítica diversa, ¿Atlatl?",Probablemente Egalitaria,Regional,[No Evidencia],
América del Norte,Subártico,Alaska Interior / Yukón (Interior),Transición Atapascana / Dené Temprano,ca. 1 - 1000 d.C.,"Caza (Caribú), Pesca, Dieta más amplia, ¿Comercio Cobre?","¿Menor movilidad?, Campamentos",Viviendas,"**Arco/Flecha, Cobre, Cerámica**, Hueso/Asta (reemplaza lítica)",?,Regional,[No Evidencia],
América del Norte,Subártico,Montañas Interiores (Cordillera),Culturas Arcaicas Montanas [KI],ca. 8000 a.C. - 750+ d.C.,"Caza (Oveja/Cabra Mont., Caribú), Pesca, Recolección",Movilidad estacional altitudinal,"Campamentos, Abrigos rocosos","Lítica adaptada, ¿Cestería?",Probablemente Egalitaria,Regional,¿Arte rupestre?,
América del Norte,Costa Noroeste del Pacífico,Costa desde Alaska hasta N California,Paleo-Marítimo / Arcaico Temprano,ca. 8300 - 3000 a.C.,Caza-Rec.-Pesca Generalista -> Adaptación Litoral Creciente,"Campamentos costeros/fluviales, Concheros tempranos",¿Abrigos rocosos?,"Lítica temprana, **Microlitos**, Hueso/Asta",Probablemente Egalitaria,Regional,[No Evidencia],
América del Norte,Costa Noroeste del Pacífico,Costa desde Alaska hasta N California (foco S. BC),Arcaico Medio / Tardío (ej. Fase Locarno Beach),ca. 3000 - 500 a.C. (Locarno ~1350-450),"**Pesca Salmón Intensiva**, Caza Marina/Terrestre, Recolección","Aldeas semi-permanentes, Campamentos estacionales especializados","Viviendas, ¿Concheros grandes?","Pizarra pulida, Arpones, Redes, Cestería, Arte temprano",¿Incipiente?,Regional,Arte mobiliar,
América del Norte,Costa Noroeste del Pacífico,Costa desde Alaska hasta N California (foco S. BC),Arcaico Tardío / Desarrollo Temprano (ej. Fase Marpole),ca. 500 a.C. - 500/1000 d.C.,"Pesca Salmón (almacenamiento?), Caza Marina/Terrestre, Recolección","**Aldeas grandes y permanentes**, Campamentos","¿Primeras casas tablones?, Tumbas elaboradas","Pizarra pulida, Trabajo madera avanzado, Arte elaborado",**Ranking / Estratificación**,Regional / Interregional,Arte mobiliar/monumental?,
América del Norte,Costa Noroeste del Pacífico,Costa desde Alaska hasta N California,Desarrollo Tardío (Pre-Contacto Temprano),ca. 500 d.C. - 750+ d.C.,"Ídem, intensificado",Grandes Aldeas,"**Casas de Tablones**, ¿Postes Totémicos tempranos?","Trabajo madera sofisticado, Canoas, Arte complejo","Jerarquía establecida, ¿Potlatch?",Amplio (costero),Arte (representacional/simb.),
América del Norte,California,Costa Californiana / Islas Canal,Paleo-Costero / Arcaico Temprano,ca. 10.000 - 6000 a.C.,"Caza-Rec.-Pesca Generalista, Adaptación costera temprana",Campamentos móviles/costeros,¿Abrigos rocosos?,"Lítica temprana, ¿Microlitos?",Probablemente Egalitaria,?,[No Evidencia],
América del Norte,California,Costa Californiana / Valles (Sur/Centro),"Arcaico Medio (Horizonte ""Milling Stone"")",ca. 6000 - 1000 a.C. (?),"**Recolección intensiva Semillas/Plantas**, Caza-Pesca","¿Semi-sedentario?, Campamentos base",,"**Piedras de Moler** (Manos/Metates), Cestería, ¿Atlatl?",Limitada?,Regional,[No Evidencia],
América del Norte,California,General (especialmente Centro y Sur),Fase de Admixture/Migración (Genética),desde ca. 3200 a.C.,(Solapa con Arcaico Medio/Tardío),(Ver Arcaico Medio/Tardío),,(Ver Arcaico Medio/Tardío),(Ver Arcaico Medio/Tardío),(Ver Arcaico Medio/Tardío),(Impacto en redes?),¿Difusión lingüística (Uto-Azteca?)
América del Norte,California,Costa Californiana / Valles Centrales / General,Arcaico Tardío / Formativo Temprano (Complejidad Creciente),ca. 1000 a.C. - 750+ d.C.,"**Bellota** (procesada), Pesca/Caza Marítima/Terrestre","Aldeas grandes, **Sedentarismo**, **Concheros**","Casas (tule/corteza), ¿Inicios casas tablones?, Graneros bellotas","Proc. Bellota, Cestería, **Canoas Tomol**, Cuentas Concha [KI]",**Jefaturas/Ranking**,Extenso (Cuentas concha) [KI],[No Evidencia Formal],
América del Norte,California,Valles Centrales,Tradición Windmiller [KI],ca. 3000 - 500 a.C.,"Caza-Rec.-Pesca (Fluvial), ¿Bellotas?",Aldeas ribereñas,"Entierros distintivos (ventral extendido, oeste)","Morteros/Manos, ¿Arpones?, ¿Obsidiana?",¿Diferencias en ajuar?,Regional (Comercio Obsidiana/Concha)| [No Evidencia],,
América del Norte,California,Sierra Nevada y Montañas del Norte,Culturas Arcaicas Montanas [KI],ca. 8000 a.C. - 750+ d.C.,"Caza (montaña), Recolección (piñones), Pesca",Movilidad estacional altitudinal,"Campamentos, Abrigos rocosos","Lítica adaptada, ¿Cestería?",Probablemente limitada,Regional (Obsidiana?),¿Arte rupestre?,
América del Norte,California,Desiertos del Sureste,"Culturas Arcaicas del Desierto (Pinto, Gypsum?) [KI]",ca. 8000 a.C. - 750+ d.C.,"Caza-Recolección adaptada a aridez, ¿Agricultura tardía?",Campamentos móviles/estacionales,Abrigos rocosos,"Puntas Pinto/Gypsum, ¿Cestería?",Probablemente limitada,Gran Cuenca / Suroeste?,¿Arte rupestre?,
América del Norte,Gran Cuenca (Great Basin),Gran Cuenca,Paleoindio Tardío / Arcaico Temprano,ca. 10.000 - 5500 a.C.,"Caza-Recolección generalista, Explotación humedales pluviales","Campamentos móviles, ¿Menor movilidad cerca lagos?",Abrigos rocosos,"Lítica (puntas stemmed?), ¿Primeras piedras moler?",Probablemente Egalitaria,Regional,[No Evidencia],
América del Norte,Gran Cuenca (Great Basin),Gran Cuenca,Arcaico Medio (Tradición del Desierto Arcaico),ca. 5500 - 1500 a.C.,"Caza-Rec. amplio espectro (**Semillas silvestres**), Caza menor","Bandas nómadas, Campamentos estacionales, Cuevas/Abrigos (Danger, Hogup)",(Uso cuevas/abrigos),"**Piedras Moler**, **Cestería mimbre**, **Redes**, Atlatl, Puntas Pinto/Gypsum/Elko [KI]",Probablemente Egalitaria,Regional,¿Arte Rupestre Arcaico? [KI],
América del Norte,Gran Cuenca (Great Basin),Gran Cuenca,Arcaico Tardío (Pre-Fremont / Pre-Numic),ca. 1500 a.C. - 500 d.C.,"Caza-Rec., Intensificación **Piñones** [KI], ¿Horticultura Fremont inic.?","Similar al Medio, ¿Mayor sedentarismo estacional?, Almacenamiento [KI]","¿Almacenes piñones?, ¿Pithouses tempranas (Fremont)?","**Arco y Flecha**?, **Cestería enrollada** (tardía), Cerámica (Fremont tardío)",Generalmente limitada,Regional,¿Arte Rupestre? [KI],
América del Sur,Región Andina,Andes Septentrionales (Ecuador Costa),Cultura Valdivia [KI],ca. 3500 - 1500 a.C.,"Agricultura (Maíz?), Pesca, Recolección",Aldeas sedentarias,"Viviendas ovales, Centros ceremoniales?","**Cerámica temprana** (ollas, figurillas ""Venus Valdivia"")","¿Chamanismo?, ¿Sociedad igualitaria?",Regional,[No Evidencia],
América del Sur,Región Andina,Andes Septentrionales (Ecuador),Culturas Machalilla / Chorrera [KI],ca. 1500 - 300 a.C.,"Agricultura, Pesca",Aldeas,,"Cerámica elaborada (Chorrera: botellas silbato), ¿Obsidiana?",¿Complejidad creciente?,Amplio (hasta Mesoamérica?),[No Evidencia],
América del Sur,Región Andina,Andes Septentrionales (Colombia),"Culturas Formativo (San Agustín, Tierradentro) [KI]",ca. 1000 a.C. - 750+ d.C.,"Agricultura (Maíz?), Caza-Rec.","Centros ceremoniales, Aldeas dispersas","**Escultura monumental piedra** (SA), **Hipogeos** pintados (Tier.)","Lítica, Cerámica","**Jefaturas** complejas, Chamanismo",Regional,Iconografía compleja,
América del Sur,Región Andina,Andes Septentrionales (Ecuador/Colombia),"Culturas Desarrollo Regional (La Tolita-Tumaco, etc.) [+ R1]",ca. 600 a.C. - 300/500 d.C.,"Agricultura, Pesca, **Metalurgia Oro/Platino**, Comercio","Centros regionales, Aldeas",¿Tolas (montículos)?,"**Metalurgia avanzada** (Oro, **Platino** - pioneros), Tumbaga","**Jefaturas** regionales, Especialistas",Regional / ¿Mesoamérica?,Iconografía compleja,
América del Sur,Región Andina,Andes Centrales (Costa/Sierra),Período Lítico / Arcaico Temprano [KI],ca. 11.000 - 6000 a.C.,"Caza (guanaco, vicuña), Recolección, Pesca costera (Paiján)","Campamentos móviles, Cuevas (Guitarrero)",Arte rupestre?,"Lítica (puntas Paiján), ¿Redes?, ¿Anzuelos?",Probablemente Egalitaria,Regional,[No Evidencia],
América del Sur,Región Andina,Andes Centrales (Costa Norte),**Civilización Caral-Supe (Norte Chico)** [+ R1],ca. 3000 - 1800 a.C.,"**Pesca/Rec. Marina**, Agricultura (Algodón, Calabaza, Frijol)","**Centros urbanos/ceremoniales grandes** (Caral), Aldeas","**Pirámides plataforma**, **Plazas circulares hundidas**, **Shicras**","Textil (algodón), ¿Quipu temprano?, Construcción monumental, **Sin cerámica**",**Sociedad Compleja/Estado?**,"Amplio (Costa, Sierra, Selva, Ecuador, Bolivia)",¿Quipu?,
América del Sur,Región Andina,Andes Centrales (Sierra/Costa),Período Inicial (Formativo Temprano) [KI],ca. 1800 - 900 a.C.,"Agricultura con **Riego**, Pesca, Ganadería (camélidos?)","Centros ceremoniales (planta en U), Aldeas","Templos (ej. Kotosh - Manos Cruzadas), Plataformas adobe","**Cerámica generalizada**, Textil, ¿Metalurgia cobre/oro temprana?","Sacerdocio, ¿Jefaturas?",Regional / Interregional,Iconografía religiosa,
América del Sur,Región Andina,Andes Centrales (Sierra/Costa),Horizonte Temprano (Influencia Chavín) [+ R1],ca. 900 - 200 a.C.,"Agricultura, Ganadería (llama?), Comercio","Centro ceremonial mayor (Chavín de Huántar), Sitios locales",Arquitectura/Escultura lítica monumental (Chavín),"Iconografía Chavín (felino, ave, serpiente), Textil, Metalurgia",¿Culto religioso extendido?,Amplia (gran parte Andes Centrales),Iconografía Chavín,
América del Sur,Región Andina,Andes Centrales (Costa Sur),Cultura Paracas [+ R1],ca. 800 - 200 a.C.,"Agricultura, Pesca, Recolección","Aldeas, Grandes Necrópolis (Necropolis phase ~300-200 aC)","Tumbas subterráneas (Cavernas, Necropolis)","**Textiles** (bordados, tintes), Cerámica, **Trepanación**","Élites (Necropolis), Chamanismo",Regional,Iconografía textil,
América del Sur,Región Andina,Andes Centrales (Costa Norte),Cultura Moche [+ R1],ca. 100 - 800 d.C.,"Agricultura de **Riego Intensivo**, Pesca, Guerra","Centros urbanos/ceremoniales (Huacas), Aldeas, Talleres","**Huacas Sol/Luna** (adobe monumental), Tumbas élite (Sipán)","**Cerámica** (moldes, realista), **Metalurgia** (Cu/Au/Ag, dorado), Riego","**Estado(s)**, Jerarquía marcada",Amplio (regional),Iconografía compleja (narrativa),
América del Sur,Región Andina,Andes Centrales (Costa Sur),Cultura Nazca [KI],ca. 100 a.C. - 800 d.C.,"Agricultura (Puquios?), Pesca, Comercio","Centro ceremonial Cahuachi, Aldeas dispersas","**Geoglifos (Líneas Nazca)**, ¿Puquios (acueductos)?","Cerámica polícroma fina, Textil",¿Jefaturas/Teocracia?,Regional (con Sierra?),Iconografía cerámica/geoglifos,
América del Sur,Región Andina,Andes Centrales (Altiplano Bolivia),Tiwanaku (Fases Formativas) [KI],ca. 1500 a.C. - 600 d.C. (?),"Agricultura (papa, quinua), Ganadería (camélidos), Pesca Lago",Aldeas -> Centro ceremonial/urbano temprano (Tiwanaku),"¿Plataformas tempranas?, ¿Monolitos?","Cerámica (Chiripa, Pukara related?), Lítica, ¿Bronce temprano?","¿Jefaturas?, ¿Sacerdocio?",Altiplano,Iconografía temprana,
América del Sur,Región Andina,Andes Centrales (Sierra Sur Perú),Cultura Wari (Fases Tempranas) [KI],ca. 500 - 750+ d.C.,"Agricultura intensiva (terrazas?), Ganadería, ¿Administración?",Centro urbano planificado (Wari/Viñaque),"Arquitectura urbana planificada, ¿Templos?","Cerámica polícroma (influencia Nazca/Tiwanaku?), ¿Quipu?",**Estado/Imperio Emergente**,Sierra Central -> Expansión,¿Quipu?,
América del Sur,Región Andina,Andes Meridionales (N Chile / S Perú),Cultura Chinchorro [+ R1],ca. **7000 - 1500 a.C.**,Pesca-Marisqueo-Caza Marina Intensiva,Campamentos/Aldeas costeras semi-sedentarias,,**Momificación Artificial Compleja** (la más antigua),"Anzuelos, Redes","¿Igualitaria?, ¿Rol del ritual?",Costa Pacífica árida,[No Evidencia]
América del Sur,Región Andina,Andes Meridionales (NO Argentina),Culturas Formativo Temprano/Medio (ej. Aguada) [+ R1],ca. 1500 a.C. - 900 d.C. (Aguada ~600-900),"Agricultura (maíz?), Ganadería (camélidos), Recolección","Aldeas, ¿Centros ceremoniales?","¿Plataformas bajas?, Arte rupestre","Cerámica (Aguada: gris grabado/pintada), Metalurgia Bronce","Jefaturas, Élites (Aguada)",Andes Centrales (Tiwanaku?),Iconografía Aguada (felino),
América del Sur,Tierras Bajas Tropicales y Subtropicales,Cuenca Amazónica,Paleoindio / Arcaico Temprano (ej. Monte Alegre) [KI],ca. 11.000 - 6000 a.C.,Caza-Recolección-Pesca Forestal/Fluvial,"Campamentos, Cuevas (Monte Alegre)",Arte Rupestre (Monte Alegre),Lítica,Probablemente Egalitaria,Regional,Arte Rupestre,
América del Sur,Tierras Bajas Tropicales y Subtropicales,Cuenca Amazónica,"Formativo Temprano (Cerámica Temprana, Terra Preta inic.) [+ R1]",ca. 6000 - 500 a.C.,"Pesca/Marisqueo, Horticultura (Mandioca), Caza-Rec., Manejo Bosque","Aldeas sedentarias tempranas, Concheros (Sambaquis) [KI], Terra Preta [KI]","Concheros, ¿Primeros Montículos?","**Cerámica** (Taperinha/Pedra Pintada ~6k-5k aC), Lítica Pulida, Agricultura incip.",¿Primeros indicios?,Regional / Fluvial,[No Evidencia],
América del Sur,Tierras Bajas Tropicales y Subtropicales,Cuenca Amazónica,"Formativo Tardío / Desarrollo Regional (ej. Barrancoid, Marajó inic.) [+ R1]| ca. 500 a.C. - 750+ d.C.","Agricultura intensiva (Mandioca, Maíz?), Pesca, Gestión Recursos (Terra Preta)","Aldeas grandes, Centros regionales, Sitios con **Montículos**","**Montículos** Plataforma/Habitación, Zanjas, Calzadas","Cerámica Polícroma/Incisa/Modelada, ¿Agroingeniería?",**Jefaturas Complejas**,Amplio (Fluvial/Regional),Iconografía cerámica compleja,,
América del Sur,Tierras Bajas Tropicales y Subtropicales,Cuenca Amazónica (Llanos de Mojos),Culturas de los Movimientos de Tierra (Llanos de Mojos) [+ R1],desde ca. 800 a.C. - 750+ d.C.,"Agricultura intensiva (**Campos elevados**), Pesca (**Corrales**), Caza","Aldeas grandes sobre **Montículos**, Redes de asentamientos","**Montículos monumentales, Calzadas, Canales, Campos Elevados**","Ingeniería hidráulica/terrestre a gran escala, Cerámica",Sociedades Complejas/Jefaturas,Regional,[No Evidencia],
América del Sur,Tierras Bajas Tropicales y Subtropicales,Cuenca del Orinoco,Arcaico / Formativo Temprano [+ R1],ca. 8500 - 500 a.C.,"Caza-Recolección, Pesca, Horticultura (Mandioca)",Campamentos -> Aldeas tempranas,?,"Cerámica temprana?, Lítica",?,Regional,[No Evidencia],
América del Sur,Tierras Bajas Tropicales y Subtropicales,Cuenca del Orinoco,Formativo Tardío / Desarrollo Regional (Saladoid/Barrancoid) [+ R1],ca. 2600 a.C. - 750+ d.C. (Expansión),"Agricultura (Mandioca), Pesca",Aldeas sedentarias ribereñas,?,"**Cerámica Saladoid/Barrancoid** (incisa, modelada, pintada)",¿Jefaturas?,Amplio (Orinoco -> Amazonia -> Caribe),Iconografía cerámica,
América del Sur,Tierras Bajas Tropicales y Subtropicales,Gran Chaco,Cazadores-Recolectores del Chaco [KI],ca. 8000 a.C. - 750+ d.C.,Caza-Recolección-Pesca (Adaptación estacional),"Campamentos móviles, Baja densidad",?,"Lítica, ¿Cestería?, ¿Redes?",Bandas/Grupos pequeños,Regional (limitado?),[No Evidencia],
América del Sur,Área Intermedia / Caribe Continent.,Norte de Colombia y Venezuela,"Arcaico / Formativo Temprano (San Jacinto, Puerto Hormiga) [KI]",ca. 8000 - 1000 a.C.,"Caza-Rec.-Pesca, Horticultura Incipiente (¿Maíz?)","Aldeas tempranas, Concheros",?,"**Cerámica Temprana** (~4500 a.C.+), Lítica",?,Regional,[No Evidencia],
América del Sur,Área Intermedia / Caribe Continent.,Norte de Colombia y Venezuela,"Formativo Medio/Tardío (Malambo, Momil, Calima-Ilama/Yotoco) [+ R1]","ca. 1000 a.C. - 750+ d.C. (Calima: Ilama ~1600-100 aC, Yotoco ~100 aC-200 dC)","Agricultura (Maíz, Yuca), Pesca, Metalurgia","Aldeas sedentarias, ¿Centros regionales?","¿Montículos?, ¿Terrazas?","Cerámica elaborada, **Orfebrería Calima** (Oro, Tumbaga)",**Jefaturas**,Regional / ¿Andes? / ¿Istmo?,"Iconografía (cerámica, oro)",
América del Sur,Área Intermedia / Caribe Continent.,Norte de Colombia (Sierra Nevada Sta Marta),Cultura Tairona (Fases Tempranas) [KI],ca. 200 d.C. - 750+ d.C.,"Agricultura (terrazas), Pesca, Metalurgia","Aldeas nucleadas, Plataformas casa","Cimientos piedra, ¿Caminos?","Orfebrería (Tumbaga), Cerámica negra, Urbanismo incipiente",**Jefaturas** complejas,Regional,Iconografía,
América del Sur,Área Intermedia / Caribe Continent.,"Istmo Centroamericano (Sur: Panamá, Costa Rica)",Arcaico / Formativo Temprano (ej. Monagrillo) [KI],ca. 8000 - 500 a.C.,"Caza-Rec., Horticultura (Maíz, Yuca?), Pesca",Campamentos -> Aldeas tempranas,?,"Lítica, **Cerámica temprana** (Monagrillo ~2100 a.C.)",?,Regional,[No Evidencia],
América del Sur,Área Intermedia / Caribe Continent.,"Istmo Centroamericano (Sur: Panamá, Costa Rica)","Desarrollo Regional (Jefaturas: ej. Barriles, Diquís) [+ R1]","ca. 500 a.C. - 750+ d.C. (Barriles ~300-900 dC, Diquís ~300 aC-300 dC)","Agricultura (Maíz?), Pesca, Caza, Comercio","Aldeas grandes, Centros ceremoniales/políticos (Barriles)","Montículos, **Estatuas piedra** (Barriles, Diquís), **Esferas Diquís**| Cerámica polícroma, **Jade** (CR), **Oro** (Pan/CR), Metates ceremoniales | **Jefaturas** con élites | Amplio (Mesoamérica, Colombia) | Iconografía (oro, jade, piedra)",,,,,
América del Sur,Área Intermedia / Caribe Continent.,Antillas,Período Arcaico (Pre-Cerámico) [+ R1],ca. 4000 - 500 a.C.,Caza-Recolección-Pesca (Recursos insulares/marinos),Campamentos móviles/costeros,Abrigos rocosos,"Lítica tallada (Casimiroid?), Concha trabajada, Piedra pulida (tardío)",Grupos pequeños/Bandas,Origen C/S América,[No Evidencia],
América del Sur,Área Intermedia / Caribe Continent.,Antillas,Migración Agroalfarera Temprana (Saladoid / Arawak) [+ R1],ca. 500 a.C. - 600 d.C.,"Agricultura (**Mandioca**), Pesca, Recolección",Aldeas sedentarias costeras/fluviales,¿Malocas?,"**Cerámica** (Blanco/Rojo, Incisa), Lítica pulida, Agricultura (conuco)",¿Sociedad tribal/igualitaria?,Orinoco -> Antillas,Iconografía cerámica,
América del Sur,Área Intermedia / Caribe Continent.,Antillas,Agroalfarero Tardío (Ostionoide Temprano) [KI + R1],ca. 600 - 750+ d.C.,"Agricultura, Pesca/Marisqueo intensivo","Aldeas más grandes, ¿Centros ceremoniales (juegos pelota)?","¿Canchas juego pelota?, ¿Cemíes?","Cerámica (Ostionoide), Lítica, Concha",**Jefaturas emergentes**,Inter-islas,Iconografía,
América del Sur,Cono Sur,Pampas y Chaco Austral,Paleoindio Pampeano [KI + 3.1 R15],ca. 11.000 - 6000 a.C.,"Caza (Megafauna? -> Guanaco, Venado), Recolección",Bandas móviles,Campamentos,"Lítica (Puntas Cola Pescado), ¿Bolas tempranas?",Probablemente Egalitaria,Regional,[No Evidencia],
América del Sur,Cono Sur,Pampas y Chaco Austral,Arcaico Pampeano [KI + 2.1 R15],ca. 6000 a.C. - 750+ d.C.,"Caza (Guanaco, Venado, Ñandú), Recolección","Alta movilidad, Campamentos estacionales",,"Lítica (Puntas pedunculadas, Bolas), Hueso (limitado inland)",Probablemente Egalitaria,Regional,[No Evidencia],
América del Sur,Cono Sur,Patagonia y Tierra del Fuego,"Paleoindio Austral (Fell, Pali Aike) [+ R1]",ca. 11.000 - 5000 a.C.,"Caza (Caballo ext., Milodón ext., Guanaco), Recolección","Cuevas, Abrigos rocosos, Campamentos",Arte Rupestre Temprano (Cueva Manos),"Lítica (Puntas Cola Pescado), Hueso",Probablemente Egalitaria,Regional,Arte Rupestre,
América del Sur,Cono Sur,Patagonia y Tierra del Fuego,Cazadores Terrestres Patagónicos (Arcaico) [KI + 6.1 R15],ca. 5000 a.C. - 750+ d.C.,"Caza especializada **Guanaco**, Recolección","Alta movilidad, Campamentos estacionales, Cuevas (uso continuado)",Arte Rupestre (cont.),"Lítica especializada, ¿Bolas?",Probablemente Egalitaria,Regional,Arte Rupestre,
América del Sur,Cono Sur,Patagonia y Tierra del Fuego,"Cazadores-Recolectores Marítimos Australes (Yaghan, Kawésqar) [+ R1]",desde ca. 4500 a.C. - 750+ d.C.,"**Rec. Moluscos, Caza Lobo Marino, Aves, Pesca**, Caza Guanaco costero","Campamentos costeros, **Concheros**",Cabañas cónicas?,"**Canoas** [KI], Arpones hueso, Lítica, Cestería",¿Familias extensas?,Canales Fueguinos,[No Evidencia Formal],
Oceanía,Australia,"Norte Tropical (Arnhem Land, etc.)",Culturas Arcaicas / Holoceno Temprano/Medio [KI],ca. 10.000 - 2000 a.C.,Caza-Rec.-Pesca (Recursos costeros/estuarinos/terrestres),Campamentos móviles/estacionales,Abrigos rocosos (Arte Rupestre),"Lítica, Arte Rupestre (ej. Figuras Dinámicas?)",?,Regional,Arte Rupestre,
Oceanía,Australia,"Norte Tropical (Arnhem Land, etc.)",Holoceno Tardío (Arte Rayos X) [+ R1],desde ca. 2000 a.C.,Caza-Rec.-Pesca,"Campamentos, Abrigos rocosos",Arte Rupestre (Rayos X),"Lítica (¿ASTT?), Arte Rupestre (Rayos X)",¿Especialistas rituales?,Regional / ¿Interregional?,Arte Rupestre (complejo),
Oceanía,Australia,Zonas Áridas / Centro,Culturas Arcaicas / Holoceno Temprano/Medio (ej. Puritjarra) [+ R1],ca. 10.000 - 2000 a.C.,"Caza-Recolección adaptada a aridez (Semillas, Caza menor/mayor)","Alta movilidad, Refugios acuáticos",Abrigos rocosos (Puritjarra),"Lítica (continuidad tecnológica), Piedras Moler",Probablemente Egalitaria,Amplia (Redes sociales),Arte Rupestre (petroglifos),
Oceanía,Australia,Zonas Áridas / Centro,Holoceno Tardío (Llegada ASTT) [+ R1],desde ca. 4000/2000 BP (~2000 a.C.?),"Caza-Recolección (intensificación semillas?), ¿Dingo?",¿Cambios en movilidad?,,"**ASTT** (microlitos, puntas, backed artefacts), Piedras Moler intensivas",?,Amplia (Difusión ASTT),Arte Rupestre,
Oceanía,Australia,"Sureste Templado (Cuenca Murray-Darling, Costa SE)",Culturas Arcaicas / Holoceno Temprano/Medio [KI],ca. 10.000 - 2000 a.C.,"Caza-Pesca (Fluvial/Costera), Recolección","Campamentos base, Concheros, ¿Cementerios tempranos (Kow Swamp)?",¿Entierros elaborados?,"Lítica, Hueso, Redes, ¿Bumerán?",¿Diferencias (Kow Swamp)?,Regional,Arte Rupestre,
Oceanía,Australia,"Sureste Templado (Cuenca Murray-Darling, Costa SE)",Holoceno Tardío (ej. Budj Bim Acuicultura) [+ R1],desde ca. 4600 a.C. (Budj Bim),"Caza-Pesca-Rec., **Manejo intensivo recursos** (Anguilas)","¿Mayor sedentarismo?, Sitios ceremoniales/agregación","**Sistemas Acuicultura** (Canales, Presas de piedra)","Manejo agua/paisaje, Redes, Cestería",¿Complejidad social?,Amplia (Redes intercambio),"Arte Rupestre, ¿Marcas mensaje?",
Oceanía,Australia,Suroeste (Esquina SO de WA),Culturas Holoceno del Suroeste [KI],ca. 10.000 a.C. - 750+ d.C.,Caza-Recolección (Recursos forestales/costeros mediterráneos),"Campamentos, ¿Cuevas (Devil's Lair)?",?,"Lítica, ¿Madera?, ¿Fuego?",?,Regional,¿Arte Rupestre?,
Oceanía,Australia,Tasmania,Aborígenes de Tasmania (Holoceno) [KI],ca. 8000 a.C. - 750+ d.C. (Aislados),"Caza (Wallaby), Rec. Costera (focas, marisco), Rec. Plantas","Movilidad costera/interior, Cuevas","Concheros, ¿Cabañas simples?","Lítica (¿simplificada?), Cestería, ¿Fuego?, ¿Sin hueso/pesca ósea?",¿Sociedad igualitaria?,Interna (Tasmania),Arte Rupestre,
Oceanía,Melanesia,Isla de Nueva Guinea (Tierras Altas),Cazadores-Recolectores / Agricultores Tempranos (ej. Kuk Swamp) [+ R1],desde ca. 7000 a.C.,"**Agricultura independiente** (Taro, Banana, Caña Azúcar), Caza-Rec.","¿Aldeas?, Zonas de cultivo gestionadas",**Sistemas de Drenaje Agrícola**,"Horticultura temprana, Útiles piedra/madera",?,Regional (Costa/Tierras Altas?),[No Evidencia],
